Following Athlete ID,Follow Status,Created At
2354170,Accepted,"Jun 15, 2013, 6:41:19 PM"
69393,Accepted,"Jun 15, 2013, 6:41:33 PM"
2423795,Accepted,"Jul 1, 2013, 9:42:19 AM"
180919,Accepted,"Aug 24, 2013, 8:07:17 AM"
1670010,Accepted,"May 1, 2014, 12:46:23 AM"
2852303,Accepted,"May 1, 2014, 12:47:04 AM"
2109261,Accepted,"May 24, 2014, 12:33:34 PM"
4418889,Accepted,"May 24, 2014, 12:33:40 PM"
2785184,Accepted,"May 24, 2014, 12:33:42 PM"
5154860,Accepted,"Jul 3, 2014, 9:43:24 PM"
2836633,Accepted,"Jul 3, 2014, 9:45:51 PM"
6035901,Accepted,"Sep 12, 2014, 8:58:43 AM"
9208643,Accepted,"Jun 30, 2015, 8:29:37 PM"
2428199,Accepted,"Feb 1, 2016, 12:41:05 PM"
4694329,Accepted,"Feb 1, 2016, 12:41:09 PM"
10230285,Accepted,"Feb 1, 2016, 12:41:18 PM"
7924528,Accepted,"May 18, 2016, 7:49:49 AM"
8476773,Accepted,"May 19, 2016, 12:27:07 PM"
4582437,Accepted,"May 25, 2016, 8:25:28 AM"
6886832,Accepted,"Jun 1, 2016, 11:20:52 AM"
16273544,Accepted,"Jul 12, 2016, 1:38:45 PM"
14878333,Accepted,"Jan 22, 2017, 1:49:56 PM"
9220317,Accepted,"Jan 22, 2017, 1:49:58 PM"
10512761,Accepted,"Mar 27, 2017, 5:22:32 AM"
10399971,Accepted,"May 4, 2017, 5:52:15 PM"
14334364,Accepted,"May 4, 2017, 5:52:30 PM"
8985541,Accepted,"Jul 17, 2017, 1:52:53 PM"
23859590,Accepted,"Aug 1, 2017, 7:00:15 PM"
5969436,Accepted,"Aug 7, 2017, 11:57:44 AM"
6450441,Accepted,"Sep 13, 2017, 7:49:12 AM"
25859029,Accepted,"Nov 2, 2017, 11:34:06 AM"
2848850,Accepted,"Jun 22, 2018, 12:38:20 PM"
23484232,Accepted,"Jul 10, 2018, 8:35:58 PM"
32908572,Accepted,"Aug 31, 2018, 1:38:57 PM"
13100337,Accepted,"Dec 24, 2019, 9:00:20 AM"
25047684,Accepted,"Apr 1, 2020, 1:52:34 PM"
